;subject;condition;mean_amplitude
0;1;deviant;1.6159049999999997
1;1;standard;2.0235495999999995
2;2;deviant;3.0868315999999973
3;2;standard;3.4351968000000053
4;3;deviant;-0.5643825651302599
5;3;standard;-0.5106695999999998
6;4;deviant;2.735969999999998
7;4;standard;3.9176884000000016
8;5;deviant;3.059675200000002
9;5;standard;2.9725135999999983
10;6;deviant;-5.237369199999992
11;6;standard;-4.139616199999997
12;7;deviant;0.014734854771783984
13;7;standard;0.629539130434782
14;8;deviant;-1.4713864097363079
15;8;standard;-0.8269082995951421
16;9;deviant;0.31354359999999976
17;9;standard;1.313604800000001
18;10;deviant;-1.7546977596741353
19;10;standard;-0.04778879837067162
20;11;deviant;-4.671389400000001
21;11;standard;-2.933628400000002
22;12;deviant;-0.40591279999999974
23;12;standard;0.7398530000000006
24;13;deviant;0.39381799999999995
25;13;standard;1.0448496000000005
26;14;deviant;-1.9480953629032252
27;14;standard;-0.22302635814889363
28;15;deviant;1.164138709677418
29;15;standard;0.7506947580645169
30;16;deviant;-3.527062387387388
31;16;standard;-3.1409756756756795
32;17;deviant;0.9737517999999995
33;17;standard;2.0165874
34;18;deviant;1.6543695999999997
35;18;standard;2.1401104000000015
36;19;deviant;-2.148485185185184
37;19;standard;-1.7717166666666675
38;20;deviant;1.199300200000001
39;20;standard;1.1653343999999992
40;21;deviant;-1.2089499999999989
41;21;standard;-0.7279415999999996
42;22;deviant;-2.1786837398373957
43;22;standard;-1.4803290650406515
44;23;deviant;-0.9200154000000005
45;23;standard;-1.2259733999999998
46;24;deviant;-0.8936981632653057
47;24;standard;0.11826959183673474
48;25;deviant;-0.47087299999999965
49;25;standard;0.2767852000000007
50;26;deviant;0.02380602409638555
51;26;standard;0.269280961923847
52;27;deviant;0.6122275100401605
53;27;standard;1.6713560240963847
54;28;deviant;-4.356171200000001
55;28;standard;-2.181429200000001
56;29;deviant;-7.708838336713992
57;29;standard;-6.237121703853955
58;30;deviant;1.3194000000000004
59;30;standard;1.1431132530120487
60;31;deviant;-1.1145678137651827
61;31;standard;-0.5302663967611339
62;32;deviant;0.559598185483871
63;32;standard;1.3667818548387098
64;33;deviant;0.21599819999999945
65;33;standard;0.5000302000000004
66;34;deviant;-0.13070947368420818
67;34;standard;1.6869508403361297
68;35;deviant;0.06648560000000019
69;35;standard;0.6588481999999998
70;36;deviant;-2.2582868000000005
71;36;standard;-1.8431626
72;37;deviant;-0.2556225999999998
73;37;standard;0.22862500000000005
74;38;deviant;-3.4973883999999997
75;38;standard;-3.8701998000000013
76;39;deviant;1.6771559498956152
77;39;standard;3.7940546972860143
78;40;deviant;-0.6652637999999996
79;40;standard;-0.8625433999999985
