;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;-27.0634;223;0.0;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.1495925323857629;
2;2;;16.1054;224;0.0;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.05513031253753532;
3;3;;5.6527;224;0.0;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.03595216150288453;
4;4;;-17.2327;224;0.0;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.017660668725673758;
5;5;;6.443;225;0.0;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.011230725786657283;
6;6;;14.821;222;0.0;Lagune;0.07906215921483097;0.09210526315789473;0.375;0.100401547375931;
7;7;;0.8859999999999999;224;0.0;Schlucht;0.25572519083969464;0.15789473684210525;0.625;0.03993563493337649;
8;8;;-25.6851;224;0.0;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.023837448410535565;
9;9;;-6.5519;224;0.0;Sumpf;0.2862595419847328;0.25;0.25;0.015965533496881255;
10;10;;-18.1992;224;0.0;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.017643752085656623;
11;11;;-9.514;224;0.0;Strand;0.5354416575790621;0.15789473684210525;0.375;0.008638234895895297;
12;12;;-5.0057;224;0.0;Urwald;0.18865866957470012;0.14473684210526316;0.375;0.006538493953469257;
13;13;;0.9195;225;0.0;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.005017409763032876;
14;14;;-8.6226;222;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.030918091991377954;
15;15;;-1.777;224;0.0;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.016454158016126274;
16;16;;1.4766;224;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.011311948529393582;
17;17;;8.9958;224;0.0;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.008391727378069598;
18;18;;-0.4941;224;0.0;Couch;0.1717557251908397;0.34210526315789475;0.25;0.027473696551983433;
19;19;;-5.3121;225;0.0;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.0051484896363647534;
20;20;;7.9177;223;0.0;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.04884107816521958;
21;21;;-15.7889;224;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.04188876620456323;
22;22;;-10.6985;224;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.03570057986887031;
23;23;;-1.0582;224;0.0;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.008074106393213536;
24;24;;17.2679;224;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.014789019902364203;
25;25;;0.7806;225;0.0;Tasse;0.7464558342420938;1.0;0.25;0.009579627550893078;
26;26;;-19.1108;223;0.0;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.05778062074670735;
27;27;;-3.2441;224;0.0;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.018529963945361806;
28;28;;17.7451;224;0.0;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.010908271933702028;
29;29;;-11.0057;225;0.0;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.007544046218205215;
30;30;;1.6778;222;0.034482758620689655;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.01590711685845653;
31;31;;12.5405;224;0.034482758620689655;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.02369617793476667;
32;32;;1.8193;224;0.034482758620689655;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.009272391549016297;
33;33;;9.3053;224;0.034482758620689655;Strand;0.5354416575790621;0.15789473684210525;0.375;0.007412022025299145;
34;34;;-5.5456;224;0.0;Fluss;0.0539803707742639;0.25;0.25;0.01253534062026513;
35;35;;-15.4939;225;0.034482758620689655;Urwald;0.18865866957470012;0.14473684210526316;0.375;0.005021013202722016;
36;36;;4.0323;222;0.0;Amboss;0.0;0.05263157894736842;0.375;0.04025727020384747;
37;37;;3.5001;224;0.0;SÃ¤ge;0.13140676117775354;0.5789473684210527;0.125;0.01145135923886721;
38;38;;5.2701;224;0.0;Spachtel;0.025081788440567066;0.039473684210526314;0.625;0.006944843061040664;
39;39;;8.0298;224;0.0;MeiÃel;0.061613958560523444;0.25;0.375;0.0049502842057535905;
40;40;;-29.2908;224;0.0;Axt;0.1941112322791712;0.5921052631578947;0.0;0.0037661705543806955;
41;41;;-1.6918;224;0.0;Zollstock;0.024536532170119956;0.02631578947368421;0.75;0.00295475298703054;
42;42;;7.3892;224;0.0;Schaufel;0.15976008724100327;0.05263157894736842;0.625;0.0023506415241444454;
43;43;;-4.2155;225;0.0;Rohrzange;0.0010905125408942203;0.0;0.75;0.0018765168178843908;
44;44;;15.3882;222;0.06896551724137931;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.008419432637872008;
45;45;;-5.0543;224;0.06896551724137931;Strand;0.5354416575790621;0.15789473684210525;0.375;0.006777598051712019;
46;46;;-11.7366;224;0.06896551724137931;Urwald;0.18865866957470012;0.14473684210526316;0.375;0.005542395542756066;
47;47;;-16.1458;224;0.034482758620689655;Sumpf;0.2862595419847328;0.25;0.25;0.004579314830654394;
48;48;;-4.2055;224;0.06896551724137931;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.0038075331539219074;
49;49;;-6.9451;224;0.034482758620689655;Lagune;0.07906215921483097;0.09210526315789473;0.375;0.01174495975791371;
50;50;;8.5524;225;0.0;Steppe;0.2039258451472192;0.21052631578947367;0.375;0.0026930953864517473;
51;51;;-13.3437;223;0.0;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.219774386996944;
52;52;;-8.2663;224;0.0;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.04238013538683451;
53;53;;4.1901;224;0.0;Platane;0.010359869138495093;0.09210526315789473;0.5;0.02360743538656444;
54;54;;1.8931;225;0.0;Esche;0.05343511450381679;0.6052631578947368;0.25;0.01613787765220275;
55;55;;-9.3327;222;0.0;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.021777680707857964;
56;56;;21.5087;224;0.0;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.012672405409401379;
57;57;;-2.4568;224;0.034482758620689655;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.008882569802194729;
58;58;;5.3357;224;0.0;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0067428213945200655;
59;59;;-22.8105;224;0.034482758620689655;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.005337983606000532;
60;60;;-0.7804;224;0.034482758620689655;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.004329256860145756;
61;61;;1.32;224;0.0;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.003561249024995881;
62;62;;-15.4997;225;0.0;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.00295213349993652;
63;63;;6.9270000000000005;223;0.034482758620689655;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.10588713671946422;
64;64;;-7.1298;224;0.0;Karren;0.27699018538713194;0.7236842105263158;0.375;0.018082194949399628;
65;65;;-9.8836;224;0.0;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.010697488998697866;
66;66;;-11.5948;224;0.034482758620689655;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.007453904274145129;
67;67;;4.4532;224;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.016992850336972794;
68;68;;-7.4573;224;0.034482758620689655;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.004410937991411293;
69;69;;-3.3591;224;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.003532230699937292;
70;70;;24.7612;225;0.034482758620689655;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.0028648441288322084;
71;71;;-13.0285;223;0.034482758620689655;Zollstock;0.024536532170119956;0.02631578947368421;0.75;0.006875864591785209;
72;72;;-21.3866;224;0.034482758620689655;Axt;0.1941112322791712;0.5921052631578947;0.0;0.004477360752940668;
73;73;;16.5931;224;0.0;Hammer;0.5310796074154853;0.8026315789473685;0.375;0.0032166374098631448;
74;74;;-1.5163;224;0.034482758620689655;Spachtel;0.025081788440567066;0.039473684210526314;0.625;0.002416605048416268;
75;75;;-0.259;224;0.034482758620689655;MeiÃel;0.061613958560523444;0.25;0.375;0.001851256776573236;
76;76;;-9.7334;224;0.034482758620689655;Rohrzange;0.0010905125408942203;0.0;0.75;0.001423347343580802;
77;77;;-2.1182;224;0.034482758620689655;Amboss;0.0;0.05263157894736842;0.375;0.0010839194494319286;
78;78;;18.8499;225;0.0;Bohrer;0.07470010905125408;0.2631578947368421;0.375;0.0008055036596367115;
79;79;;-16.0417;222;0.0;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.28867484299364743;
80;80;;5.2369;224;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.044687622335669766;
81;81;;-10.9837;224;0.0;Storch;0.12104689203925845;0.18421052631578946;0.375;0.025812095479631675;
82;82;;-4.2139;224;0.0;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.01793399287418081;
83;83;;-19.3453;225;0.0;Specht;0.10359869138495092;0.13157894736842105;0.375;0.013515329642962851;
84;84;;6.0120000000000005;222;0.06896551724137931;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.009011520190268336;
85;85;;2.9788;224;0.06896551724137931;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.006514798793727924;
86;86;;-19.0333;224;0.034482758620689655;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0049875106756050325;
87;87;;0.3883;224;0.034482758620689655;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.003942596623238889;
88;88;;-2.7087;224;0.034482758620689655;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.003174331076980536;
89;89;;-6.421;225;0.034482758620689655;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.0025806147978848525;
90;90;;-3.7114;222;0.034482758620689655;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.016119429019295684;
91;91;;-11.6512;224;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.012470041029608777;
92;92;;10.6826;224;0.0;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.00999482761610551;
93;93;;12.344000000000001;225;0.0;Elster;0.09378407851690294;0.3684210526315789;0.375;0.008199212194648222;
94;94;;-26.6528;222;0.06896551724137931;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.0038851210209696397;
95;95;;-0.3218;224;0.10344827586206896;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.003234725908162005;
96;96;;-9.3248;224;0.06896551724137931;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.002706636589805846;
97;97;;-19.6099;224;0.06896551724137931;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.0022671297811359655;
98;98;;0.6125;224;0.06896551724137931;Jeans;0.10905125408942203;0.42105263157894735;0.25;0.0018943274659096662;
99;99;;-9.3783;224;0.0;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.0015733331278380855;
100;100;;26.6612;224;0.06896551724137931;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0012935979580724541;
