;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;-2.2881;223;0.0;Regal;0.19193020719738277;0.5263157894736842;0.25;0.04481146425074846;
2;2;;-8.5941;224;0.0;Sessel;1.0;0.5394736842105263;0.375;0.01831794967216491;
3;3;;-14.874;224;0.0;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.00902397317999477;
4;4;;7.4743;224;0.0;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.0051250848222739506;
5;5;;-19.6246;224;0.0;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.0031569926554887214;
6;6;;-1.7498;224;0.0;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.003869473932406525;
7;7;;-17.0833;224;0.0;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0015726431163287998;
8;8;;6.1245;225;0.0;Couch;0.1717557251908397;0.34210526315789475;0.25;0.002057285369486136;
9;9;;13.2076;223;0.0;Gabel;0.7382769901853872;0.881578947368421;0.25;0.02635014944916137;
10;10;;-19.1744;224;0.0;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.006818850237919187;
11;11;;-28.1624;224;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.0060510514039708455;
12;12;;8.4232;224;0.0;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.0025224748368595376;
13;13;;-76.5898;224;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.010594495794192325;
14;14;;-3.8275;224;0.0;Tasse;0.7464558342420938;1.0;0.25;0.0035725467357227;
15;15;;8.3388;224;0.0;Tortenheber;0.0059978189749182115;0.0;1.0;0.002885064287208408;
16;16;;-9.6002;225;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.0021749440733248556;
17;17;;4.5784;223;0.034482758620689655;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.0036087250631832864;
18;18;;20.3462;224;0.034482758620689655;Regal;0.19193020719738277;0.5263157894736842;0.25;0.0023500529415476693;
19;19;;-3.8235;224;0.034482758620689655;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.0016210780075975684;
20;20;;17.1582;224;0.0;Esstisch;0.0005452562704471102;0.0;0.625;0.001147043731619876;
21;21;;-10.0585;224;0.034482758620689655;Sessel;1.0;0.5394736842105263;0.375;0.0052037968076049865;
22;22;;-17.6998;225;0.034482758620689655;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.0024080869923823814;
23;23;;-24.500999999999998;223;0.0;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.03381652870756677;
24;24;;15.9672;224;0.0;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.023538306133164138;
25;25;;-8.016;224;0.0;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.0035303079082838894;
26;26;;-26.855999999999998;224;0.0;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.002291043339262294;
27;27;;9.915;225;0.0;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.005096306629146674;
28;28;;-7.3501;223;0.0;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.003678936463412861;
29;29;;-9.066;224;0.06896551724137931;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.002291841651938827;
