;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;12.6876;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.04442293564896625;
2;2;;21.7321;0.0;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.020072930453297343;
3;3;;24.8587;0.0;Tasse;0.7464558342420938;1.0;0.25;0.009724030231416016;
4;4;;-6.7475;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.007053618678686652;
5;5;;-31.4793;0.0;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.022073871544945983;
6;6;;-2.5054;0.0;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.008785857343675454;
7;7;;9.296;0.0;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.004945456482906248;
8;8;;-36.9367;0.0;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.003110923849357039;
9;9;;17.9206;0.0;Pullover;0.23336968375136313;0.07894736842105263;0.625;0.0020569349057142166;
10;10;;20.928;0.0;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.0013897513185666633;
11;11;;7.7257;0.0;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.0009415604762840163;
12;12;;-3.9737;0.0;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.0006283129578887064;
13;13;;-9.392999999999999;0.0;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.07027319583646915;
14;14;;-75.5709;0.0;Spargel;0.1559432933478735;0.25;0.5;0.014903790220691568;
15;15;;-20.8865;0.0;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.007948250284949152;
16;16;;-11.6947;0.0;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.008301456269556293;
17;17;;29.18;0.0;Kartoffel;0.2050163576881134;0.05263157894736842;0.75;0.0035524626277189148;
18;18;;9.7637;0.0;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.0042418398653909645;
19;19;;37.1814;0.0;Schlucht;0.25572519083969464;0.15789473684210525;0.625;0.070868904146929;
20;20;;61.358999999999995;0.0;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.013820095255760502;
21;21;;86.6226;0.0;Urwald;0.18865866957470012;0.14473684210526316;0.375;0.007613404183657382;
22;22;;30.881999999999998;0.0;Lagune;0.07906215921483097;0.09210526315789473;0.375;0.024621321667786134;
23;23;1.0;-265.5127;0.0;Rohrzange;0.0010905125408942203;0.0;0.75;0.025655408283176275;
24;24;1.0;-222.4132;0.0;Zollstock;0.024536532170119956;0.02631578947368421;0.75;0.006070533108664415;
25;25;;-4.7576;0.0;Amboss;0.0;0.05263157894736842;0.375;0.003738738415874987;
26;26;;123.2039;0.0;Bohrer;0.07470010905125408;0.2631578947368421;0.375;0.0025828111291732294;
27;27;;71.6196;0.0;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.03311705957508681;
28;28;1.0;13.4361;0.0;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.007622368235319287;
29;29;1.0;-487.7842;0.0;Pappel;0.04198473282442748;0.5;0.375;0.004611365482449636;
30;30;1.0;134.3149;0.0;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.0031354937549063462;
31;31;;46.0821;0.0;Esche;0.05343511450381679;0.6052631578947368;0.25;0.0022350142573775334;
32;32;1.0;-260.2459;0.0;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.0016270237796639057;
33;33;;89.05;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.0011919720615458402;
34;34;;41.3885;0.0;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.02243278539675791;
35;35;;22.2722;0.034482758620689655;Lagune;0.07906215921483097;0.09210526315789473;0.375;0.020979133884986418;
36;36;1.0;-101.8427;0.034482758620689655;Savanne;0.020719738276990186;0.06578947368421052;0.5;0.006364916443561544;
37;37;;41.0035;0.034482758620689655;Schlucht;0.25572519083969464;0.15789473684210525;0.625;0.004334698022213931;
38;38;;45.4474;0.0;Storch;0.12104689203925845;0.18421052631578946;0.375;0.11426506684368082;
39;39;;53.2021;0.0;Elster;0.09378407851690294;0.3684210526315789;0.375;0.011494793583545401;
40;40;;-6.9139;0.0;Specht;0.10359869138495092;0.13157894736842105;0.375;0.006414255961797436;
41;41;;-116.7253;0.0;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.0042556344937743846;
42;42;;49.5475;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.003016375540007489;
43;43;;61.038999999999994;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.002204247173953552;
44;44;;30.6951;0.0;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.0016321795476974437;
45;45;;14.9679;0.0;Hammer;0.5310796074154853;0.8026315789473685;0.375;0.024364393099274514;
46;46;;17.2409;0.0;Schaufel;0.15976008724100327;0.05263157894736842;0.625;0.008922004872859154;
47;47;1.0;-596.8144;0.034482758620689655;Zollstock;0.024536532170119956;0.02631578947368421;0.75;0.005394901665590032;
48;48;;24.1491;0.0;Axt;0.1941112322791712;0.5921052631578947;0.0;0.0036630083866884353;
49;49;;124.8905;0.034482758620689655;Rohrzange;0.0010905125408942203;0.0;0.75;0.00261419096965051;
50;50;;90.5826;0.034482758620689655;Bohrer;0.07470010905125408;0.2631578947368421;0.375;0.0019109830347731089;
51;51;;36.8477;0.0;MeiÃel;0.061613958560523444;0.25;0.375;0.0014104958749230347;
52;52;;37.4506;0.034482758620689655;Amboss;0.0;0.05263157894736842;0.375;0.0010403263241021733;
53;53;;44.2493;0.06896551724137931;Lagune;0.07906215921483097;0.09210526315789473;0.375;0.04382259808051146;
54;54;1.0;-268.8725;0.0;Fluss;0.0539803707742639;0.25;0.25;0.013046148991691703;
55;55;;19.1334;0.0;Strand;0.5354416575790621;0.15789473684210525;0.375;0.00615680479599717;
56;56;;38.8886;0.034482758620689655;Urwald;0.18865866957470012;0.14473684210526316;0.375;0.004089543629171527;
57;57;;14.5728;0.0;Salzsee;0.012540894220283533;0.02631578947368421;0.5;0.004748551537880305;
58;58;;21.0458;0.0;Steppe;0.2039258451472192;0.21052631578947367;0.375;0.0022225128556622705;
59;59;;32.3966;0.034482758620689655;Gebirge;0.7050163576881134;0.14473684210526316;0.5;0.0016409642289878135;
60;60;;7.597;0.0;Panther;0.11504907306434024;0.2894736842105263;0.5;0.08504807659297328;
61;61;;49.1388;0.0;Maultier;0.06924754634678298;0.11842105263157894;0.625;0.01337795745446545;
62;62;;-42.6715;0.0;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.007831285089055154;
63;63;;-69.2919;0.0;BÃ¼ffel;0.0866957470010905;0.19736842105263158;0.375;0.06921237153930956;
