;simufile;subject;real_tau;real_slope;real_intercept;real_sigmasqr
1;1;1;5;-50;0.228225;0
2;2;1;5;-50;0.228225;1
3;3;1;5;-50;0.228225;155.54224695822333
4;4;1;5;-50;0.228225;373.58540570122676
5;5;1;5;-2;0.228225;0
6;6;1;5;-2;0.228225;1
7;7;1;5;-2;0.228225;155.54224695822333
8;8;1;5;-2;0.228225;373.58540570122676
9;9;1;5;2;0.228225;0
10;10;1;5;2;0.228225;1
11;11;1;5;2;0.228225;155.54224695822333
12;12;1;5;2;0.228225;373.58540570122676
13;13;1;5;50;0.228225;0
14;14;1;5;50;0.228225;1
15;15;1;5;50;0.228225;155.54224695822333
16;16;1;5;50;0.228225;373.58540570122676
17;17;1;10;-50;0.228225;0
18;18;1;10;-50;0.228225;1
19;19;1;10;-50;0.228225;155.54224695822333
20;20;1;10;-50;0.228225;373.58540570122676
21;21;1;10;-2;0.228225;0
22;22;1;10;-2;0.228225;1
23;23;1;10;-2;0.228225;155.54224695822333
24;24;1;10;-2;0.228225;373.58540570122676
25;25;1;10;2;0.228225;0
26;26;1;10;2;0.228225;1
27;27;1;10;2;0.228225;155.54224695822333
28;28;1;10;2;0.228225;373.58540570122676
29;29;1;10;50;0.228225;0
30;30;1;10;50;0.228225;1
31;31;1;10;50;0.228225;155.54224695822333
32;32;1;10;50;0.228225;373.58540570122676
33;33;1;15;-50;0.228225;0
34;34;1;15;-50;0.228225;1
35;35;1;15;-50;0.228225;155.54224695822333
36;36;1;15;-50;0.228225;373.58540570122676
37;37;1;15;-2;0.228225;0
38;38;1;15;-2;0.228225;1
39;39;1;15;-2;0.228225;155.54224695822333
40;40;1;15;-2;0.228225;373.58540570122676
41;41;1;15;2;0.228225;0
42;42;1;15;2;0.228225;1
43;43;1;15;2;0.228225;155.54224695822333
44;44;1;15;2;0.228225;373.58540570122676
45;45;1;15;50;0.228225;0
46;46;1;15;50;0.228225;1
47;47;1;15;50;0.228225;155.54224695822333
48;48;1;15;50;0.228225;373.58540570122676
49;49;1;20;-50;0.228225;0
50;50;1;20;-50;0.228225;1
51;51;1;20;-50;0.228225;155.54224695822333
52;52;1;20;-50;0.228225;373.58540570122676
53;53;1;20;-2;0.228225;0
54;54;1;20;-2;0.228225;1
55;55;1;20;-2;0.228225;155.54224695822333
56;56;1;20;-2;0.228225;373.58540570122676
57;57;1;20;2;0.228225;0
58;58;1;20;2;0.228225;1
59;59;1;20;2;0.228225;155.54224695822333
60;60;1;20;2;0.228225;373.58540570122676
61;61;1;20;50;0.228225;0
62;62;1;20;50;0.228225;1
63;63;1;20;50;0.228225;155.54224695822333
64;64;1;20;50;0.228225;373.58540570122676
65;65;1;50;-50;0.228225;0
66;66;1;50;-50;0.228225;1
67;67;1;50;-50;0.228225;155.54224695822333
68;68;1;50;-50;0.228225;373.58540570122676
69;69;1;50;-2;0.228225;0
70;70;1;50;-2;0.228225;1
71;71;1;50;-2;0.228225;155.54224695822333
72;72;1;50;-2;0.228225;373.58540570122676
73;73;1;50;2;0.228225;0
74;74;1;50;2;0.228225;1
75;75;1;50;2;0.228225;155.54224695822333
76;76;1;50;2;0.228225;373.58540570122676
77;77;1;50;50;0.228225;0
78;78;1;50;50;0.228225;1
79;79;1;50;50;0.228225;155.54224695822333
80;80;1;50;50;0.228225;373.58540570122676
81;81;1;100;-50;0.228225;0
82;82;1;100;-50;0.228225;1
83;83;1;100;-50;0.228225;155.54224695822333
84;84;1;100;-50;0.228225;373.58540570122676
85;85;1;100;-2;0.228225;0
86;86;1;100;-2;0.228225;1
87;87;1;100;-2;0.228225;155.54224695822333
88;88;1;100;-2;0.228225;373.58540570122676
89;89;1;100;2;0.228225;0
90;90;1;100;2;0.228225;1
91;91;1;100;2;0.228225;155.54224695822333
92;92;1;100;2;0.228225;373.58540570122676
93;93;1;100;50;0.228225;0
94;94;1;100;50;0.228225;1
95;95;1;100;50;0.228225;155.54224695822333
96;96;1;100;50;0.228225;373.58540570122676
