;subject;condition;mean_amplitude
0;1;deviant;1.6159049999999997
1;1;standard;2.0235495999999995
2;2;deviant;3.0868315999999973
3;2;standard;3.4351968000000053
4;3;deviant;-0.5374287999999994
5;3;standard;-0.5106695999999998
6;4;deviant;2.735969999999998
7;4;standard;3.9176884000000016
8;5;deviant;3.059675200000002
9;5;standard;2.9725135999999983
10;6;deviant;-5.237369199999992
11;6;standard;-4.139616199999997
12;7;deviant;-0.11117620000000024
13;7;standard;0.7725587999999993
14;8;deviant;-1.4861675403225805
15;8;standard;-0.8141553319919521
16;9;deviant;0.31354359999999976
17;9;standard;1.313604800000001
18;10;deviant;-1.7546977596741353
19;10;standard;-0.04778879837067162
20;11;deviant;-4.671389400000001
21;11;standard;-2.933628400000002
22;12;deviant;-0.40591279999999974
23;12;standard;0.7398530000000006
24;13;deviant;0.39381799999999995
25;13;standard;1.0448496000000005
26;14;deviant;-1.8813079999999995
27;14;standard;-0.2620266000000001
28;15;deviant;1.0738411999999984
29;15;standard;0.786261000000001
30;16;deviant;-3.6168641509433925
31;16;standard;-3.155649266247382
32;17;deviant;0.9737517999999995
33;17;standard;2.0165874
34;18;deviant;1.6543695999999997
35;18;standard;2.1401104000000015
36;19;deviant;-2.212396599999998
37;19;standard;-1.9173622000000008
38;20;deviant;1.199300200000001
39;20;standard;1.1653343999999992
40;21;deviant;-1.2089499999999989
41;21;standard;-0.7279415999999996
42;22;deviant;-2.1510167999999976
43;22;standard;-1.4864060000000012
44;23;deviant;-0.9200154000000005
45;23;standard;-1.2259733999999998
46;24;deviant;-1.0146564
47;24;standard;0.14764639999999996
48;25;deviant;-0.47087299999999965
49;25;standard;0.2767852000000007
50;26;deviant;0.045724000000000015
51;26;standard;0.27560659999999937
52;27;deviant;0.6122275100401605
53;27;standard;1.6713560240963847
54;28;deviant;-4.356171200000001
55;28;standard;-2.181429200000001
56;29;deviant;-7.605384799999996
57;29;standard;-6.118602399999999
58;30;deviant;1.3839038235294114
59;30;standard;1.0134221238938053
60;31;deviant;-1.1188477999999995
61;31;standard;-0.5434342000000004
62;32;deviant;0.559598185483871
63;32;standard;1.3667818548387098
64;33;deviant;0.21599819999999945
65;33;standard;0.5000302000000004
66;34;deviant;0.04547620000000071
67;34;standard;1.541244199999994
68;35;deviant;0.06648560000000019
69;35;standard;0.6588481999999998
70;36;deviant;-2.2582868000000005
71;36;standard;-1.8431626
72;37;deviant;-0.2556225999999998
73;37;standard;0.22862500000000005
74;38;deviant;-3.4973883999999997
75;38;standard;-3.8701998000000013
76;39;deviant;1.7359715999999987
77;39;standard;3.629079000000002
78;40;deviant;-0.6652637999999996
79;40;standard;-0.8625433999999985
