;subject;minutes_elapsed;cost_function;optimal_tau;regr_slope;regr_intercept
30;31;37.18333333333333;288268.0819197872;999.9342235734549;-6.121415112000382;-0.7190950780819922
31;32;34.56666666666667;364724.9455849483;144.4732019307063;18.461264592108975;1.4544957040551154
32;33;36.333333333333336;450186.0825257881;999.9340251491858;8.865869851033834;-0.9865866345231548
33;34;36.25;1229834.619743185;999.9403245395399;192.60666014015018;-1.5291966027265809
34;35;36.86666666666667;488383.8273948905;999.9307976380398;-51.58339550877297;0.14461588223123786
35;36;35.016666666666666;530970.7317968885;999.9342235734549;-15.607659222852378;-2.3673768313068475
36;37;35.233333333333334;526718.3559506694;111.68579550278525;-12.491120919209555;-0.37740639283947386
37;38;35.2;496435.24685831;999.8935715061915;14.22441077755991;-3.46068710653263
38;39;35.15;557358.3328031523;999.9383382976825;241.34671365348956;1.1470848060732444
39;40;35.083333333333336;2593271.322428691;999.9336031420579;112.06674852751405;-0.8293664123026171
