;simufile;subject;minutes_elapsed;cost_function;tau;baysur_slope;regr_intercept;sigmasqr
1;1;1;;;10;-2;-1;0.5
2;2;1;;;10;-2;-1;300
3;3;1;;;10;-2;10;0.5
4;4;1;;;10;-2;10;300
5;5;1;;;10;15;-1;0.5
6;6;1;;;10;15;-1;300
7;7;1;;;10;15;10;0.5
8;8;1;;;10;15;10;300
9;9;1;;;400;-2;-1;0.5
10;10;1;;;400;-2;-1;300
11;11;1;;;400;-2;10;0.5
12;12;1;;;400;-2;10;300
13;13;1;;;400;15;-1;0.5
14;14;1;;;400;15;-1;300
15;15;1;;;400;15;10;0.5
16;16;1;;;400;15;10;300
17;17;1;;;2000;-2;-1;0.5
18;18;1;;;2000;-2;-1;300
19;19;1;;;2000;-2;10;0.5
20;20;1;;;2000;-2;10;300
21;21;1;;;2000;15;-1;0.5
22;22;1;;;2000;15;-1;300
23;23;1;;;2000;15;10;0.5
24;24;1;;;2000;15;10;300
